suburb,min12,min6,min4,min3,max12,max6,max4,max3,std12,std6,std4,std3,mean12,mean6,mean4,mean3,med12,med6,med4,med3,var12,var6,var4,var3,linreg12,linreg6,linreg4,linreg3,dist_syd_cbd,pprev_up2,prev_up2,Ypred2,Threshold
THURGOONA,0.420895522,0.365142743,0.3627893,0.332781913,0.309517635,0.295254149,0.295528192,0.287751134,0.154475086,0.166646372,0.180606502,0.185491955,0.379605361,0.344872301,0.346228479,0.316883117,0.377595076,0.340164959,0.350787048,0.340163934,0.025964582,0.028786425,0.033662143,0.034775726,0.381070726,0.343695154,0.348726896,0.330321166,0.001737183,0,1,1.19E-07,0
TIGHES HILL,0.085373134,0.073467758,0.070033063,0.064240419,0.056275934,0.053941909,0.052171095,0.051198963,0.024187791,0.024548834,0.026288695,0.028877662,0.072803075,0.067852512,0.06275546,0.05774026,0.071927246,0.068566192,0.063086208,0.061065574,0.000964903,0.000777732,0.000871579,0.000902312,0.073106494,0.068650434,0.063137234,0.061181351,0.005073081,0,0,1,1
TOCUMWAL,0.302686567,0.252345778,0.249574191,0.228931164,0.185036307,0.185036307,0.185353208,0.173363577,0.046016281,0.067974935,0.072155854,0.04871548,0.249243878,0.230986074,0.218550019,0.20038961,0.243477861,0.231233858,0.213971128,0.209836066,0.002823989,0.005083818,0.005678515,0.002486216,0.250458343,0.232358427,0.219394617,0.207522492,0.000585256,0,0,5.96E-08,0
TOLLAND,0.174925373,0.145538032,0.142370504,0.131513648,0.110477178,0.110477178,0.106610499,0.106610499,0.031634464,0.054891221,0.050310102,0.054886812,0.146909003,0.133238428,0.123384666,0.119350649,0.14449752,0.133133383,0.119158307,0.125409836,0.001493747,0.003392362,0.002867987,0.003139072,0.147748719,0.13391776,0.121617324,0.123763096,0.00323574,1,0,0.1629551,0
TOONGABBIE,0.132537313,0.110600918,0.107303877,0.098428453,0.08940612,0.08940612,0.080103694,0.080103694,0.036442033,0.052037599,0.041528319,0.047272187,0.111603289,0.104386311,0.095062136,0.08774026,0.110738563,0.104432225,0.094160346,0.088688525,0.001893134,0.003068594,0.00200525,0.002344496,0.112160933,0.105501457,0.094469585,0.089268492,0.002328241,0,1,0,0
TOORMINA,0.021731343,0.017468557,0.01382627,0.012682658,0.011702541,0.011702541,0.012086844,0.012086844,0.002535037,0.010760079,0.014830976,0.020091383,0.017077983,0.013735412,0.012478841,0.012558442,0.016672791,0.012080313,0.011866895,0.013934426,4.71E-05,0.000193607,0.000322977,0.000451678,0.017272085,0.013860734,0.011738273,0.012861163,0.039192354,1,0,0.99935937,1
TORONTO,0.04561194,0.040926333,0.037371005,0.034279938,0.030731328,0.030731328,0.031108231,0.031108231,0.014046335,0.022611651,0.030403867,0.037042995,0.039388196,0.036054575,0.033937492,0.030831169,0.03899504,0.034741315,0.032705326,0.028278689,0.000420181,0.000672877,0.001132249,0.001459176,0.039576668,0.036176425,0.03314523,0.029883873,0.010713894,0,0,1,1
TOUKLEY,0.047164179,0.06468357,0.061216311,0.056152927,0.044605809,0.044605809,0.042125729,0.042125729,0.028909757,0.015868043,0.012430616,0.018576961,0.056790162,0.05553363,0.052206763,0.049272727,0.057505052,0.054278097,0.052157247,0.053032787,0.001287586,0.000365976,0.000241077,0.000389567,0.056858715,0.055853315,0.051932828,0.051880623,0.02628663,1,0,1.49E-07,0
TREGEAR,0.213134328,0.177480535,0.17443142,0.160003676,0.187629668,0.162668568,0.142968244,0.135774465,0.126024175,0.128887154,0.10217016,0.091331084,0.215340114,0.180413824,0.161285661,0.145324675,0.204253169,0.181496293,0.158102928,0.145081967,0.017654678,0.017432818,0.011085523,0.00854376,0.217388594,0.183519803,0.163536158,0.152959983,0.000976308,0,0,1,1
TULLIMBAR,0.104477612,0.090437213,0.087065424,0.079863983,0.076608467,0.076608467,0.073255995,0.065780946,0.043582782,0.048221686,0.050426417,0.046756592,0.091069815,0.089818585,0.08358119,0.075493506,0.087152765,0.086832459,0.084026588,0.084713115,0.002570295,0.00266091,0.002880442,0.002294876,0.091270722,0.090752442,0.084671592,0.079947948,0.005984092,0,1,0.00017336,0
